Booking#,dt,Agent#,Agent_Name,Cust_Number,Destination#,Destination_City,Destination_Country,Destination_Region,Amount,From_Date,To_Date,Length of Stay
1,01/01/2018,9,Olive Diaz,41254,116,Sydney,Australia,Oceania/Australia,2941,18/09/2019,29/09/2019,11
2,01/01/2018,3,Carole Cox,19714,87,Memphis,United States,North America,13793,02/02/2019,14/02/2019,12
3,01/01/2018,10,Simon Fleming,17556,126,Quito,Ecuador,South America,4757,01/09/2019,22/09/2019,21
4,01/01/2018,2,Molly Cross,42608,71,Chicago,United States,North America,9862,31/01/2019,23/02/2019,23
5,01/01/2018,4,Mitchell Barton,4512,127,Cusco,Peru,South America,7956,15/03/2019,05/04/2019,21
6,01/01/2018,8,Elisa Bennett,16525,104,Sacramento,United States,North America,2165,22/09/2018,14/10/2018,22
7,01/01/2018,5,Sandy Douglas,13030,50,Montreal,Canada,North America,5945,18/02/2018,22/02/2018,4
8,01/01/2018,6,Thelma Jefferson,37121,111,Tulsa,United States,North America,11652,01/06/2019,09/06/2019,8
9,01/01/2018,2,Molly Cross,27432,52,Quebec City,Canada,North America,3770,21/07/2019,14/08/2019,24
10,01/01/2018,9,Olive Diaz,12989,25,Prague,Czech Republic,Europe,4984,28/07/2018,10/08/2018,13
11,01/01/2018,11,Kay Adams,28531,35,Moscow,Russia,Europe,2115,20/08/2019,21/08/2019,1
12,01/01/2018,4,Mitchell Barton,10701,50,Montreal,Canada,North America,7945,14/07/2019,03/08/2019,20
13,01/01/2018,10,Simon Fleming,8873,128,Lima,Peru,South America,11934,14/08/2018,08/09/2018,25
14,01/01/2018,2,Molly Cross,44282,19,Tokyo,Japan,Asia,4437,20/05/2019,17/06/2019,28
15,01/01/2018,5,Sandy Douglas,41543,89,Milwaukee,United States,North America,5167,05/08/2018,11/08/2018,6
16,01/01/2018,2,Molly Cross,11516,45,Jerusalem,Israel,Middle East,3473,19/03/2018,12/04/2018,24
17,01/01/2018,8,Elisa Bennett,24071,16,Jaipur,India,Asia,4273,01/03/2019,23/03/2019,22
18,01/01/2018,6,Thelma Jefferson,8525,20,Kathmandu,Nepal,Asia,11275,01/03/2018,06/03/2018,5
19,01/01/2018,2,Molly Cross,24936,115,Melbourne,Australia,Oceania/Australia,5566,03/11/2018,28/11/2018,25
20,01/01/2018,4,Mitchell Barton,17276,98,Omaha,United States,North America,2070,23/06/2019,17/07/2019,24
21,01/01/2018,7,Horace Hawkins,34458,17,New Delhi,India,Asia,6350,13/05/2018,29/05/2018,16
22,01/01/2018,6,Thelma Jefferson,4073,51,Niagara Falls,Canada,North America,14720,21/05/2019,16/06/2019,26
23,01/01/2018,6,Thelma Jefferson,23494,71,Chicago,United States,North America,11689,04/07/2018,29/07/2018,25
24,01/01/2018,7,Horace Hawkins,33511,111,Tulsa,United States,North America,2463,30/12/2018,15/01/2019,16
25,01/01/2018,11,Kay Adams,32838,118,Buenos Aires,Argentina,South America,10104,03/07/2019,29/07/2019,26
26,01/01/2018,10,Simon Fleming,35030,54,Vancouver,Canada,North America,9968,12/02/2019,14/02/2019,2
27,01/01/2018,4,Mitchell Barton,22501,1,Marrakech,Morocco,Africa,10927,24/08/2019,25/08/2019,1
28,02/01/2018,9,Olive Diaz,49425,95,Newark,United States,North America,14563,11/08/2019,24/08/2019,13
29,02/01/2018,6,Thelma Jefferson,42055,60,Anaheim,United States,North America,10461,17/06/2018,01/07/2018,14
30,02/01/2018,8,Elisa Bennett,26785,12,Beijing,China,Asia,5795,05/09/2018,13/09/2018,8
31,02/01/2018,9,Olive Diaz,15223,99,Orlando,United States,North America,9510,04/01/2019,11/01/2019,7
32,02/01/2018,2,Molly Cross,25085,84,Little Rock,United States,North America,3998,27/05/2018,24/06/2018,28
33,02/01/2018,6,Thelma Jefferson,13746,99,Orlando,United States,North America,13097,05/02/2019,04/03/2019,27
34,02/01/2018,2,Molly Cross,41184,111,Tulsa,United States,North America,10331,22/04/2019,17/05/2019,25
35,02/01/2018,6,Thelma Jefferson,2329,103,Raleigh,United States,North America,5930,03/10/2018,06/10/2018,3
36,02/01/2018,8,Elisa Bennett,27224,38,Amsterdam,The Netherlands,Europe,7973,06/09/2019,24/09/2019,18
37,02/01/2018,3,Carole Cox,2569,64,Baton Rouge,United States,North America,5771,30/07/2018,05/08/2018,6
38,02/01/2018,1,Jordan Curry,42681,2,Kololi,Gambia,Africa,3253,24/03/2018,30/03/2018,6
39,02/01/2018,1,Jordan Curry,45718,65,Birmingham,United States,North America,6406,18/04/2019,10/05/2019,22
40,02/01/2018,4,Mitchell Barton,24620,99,Orlando,United States,North America,7057,06/07/2019,13/07/2019,7
41,02/01/2018,10,Simon Fleming,28490,6,Fes,Morocco,Africa,13832,02/06/2019,29/06/2019,27
42,02/01/2018,11,Kay Adams,25805,97,Oakland,United States,North America,7666,10/09/2019,18/09/2019,8
